id,name,slot,itemlevel,droprate
1,"cowl of defiance",head,leather,115,33
2,"earthblood chestguard",chest,mail,115,33
3,"girdle of truth",waist,plate,115,33
4,"jewel of infinite possibilities",offhand,offhand,115,33
5,"mantle of the abrahims",shoulder,plate,115,33
6,"mithril band of the unscarred",finger,ring,115,33
7,"pantaloons of reprentance",legs,cloth,115,33
8,"rip-flayer leggings",legs,mail,115,33
9,"shining chain of the afterworld",neck,amulet,115,33
10,"skulgers greavs",legs,leather,115,33
11,"spiteblade",1h,sword,115,33
12,"uni-minded headdress",head,cloth,115,33
