id,name,slot,itemlevel,droprate
1,"ring of a thousand marks",finger,ring,125,14
2,"adornment of stolen souls",neck,amulet,125,14
3,"helm of the fallen champion",head,PaRoSh,133,14
4,"helm of the fallen hero",head,HuMaWl,133,14
5,"malchazeen",1h,dagger,125,14
6,"farstrider wildercloak",back,cloak,125,14
7,"gorehowl",2h,axe,125,14
8,"helm of the fallen defender",head,DrPrWr,133,14
9,"jade ring of the everliving",finger,ring,125,14
10,"lights justice",1h,mace,125,14
11,"nathrezim mindblade",1h,dagger,125,14
12,"ruby drape of the mysticant",back,cloak,125,14
13,"stainless cloak of the pure hearted",back,cloak,125,14
14,"sunfury bow of the pheonix",ranged,bow,125,14
15,"the decapitator",1h,axe,125,14
