id,name,slot,itemlevel,droprate
1,"gilded thoriom cloak",back,cloak,115,25
2,"breastplate of the lightbinder",chest,plate,115,25
3,"cord of natures",waist,leather,115,25
4,"cincture of will",waist,cloth,115,13
5,"fools bane",1h,mace,115,13
6,"girdle of the prowler",waist,mail,115,13
7,"malefic girdle",waist,cloth,115,13
8,"menders heart ring",finger,ring,115,13
9,"shadowvine cloak",back,cloak,115,13
10,"terestians stranglestaff",2h,staff,115,13
11,"the lightning capacitor",trinket,trinket,115,13
12,"xavian stiletto",thrown,thrown,115,13
